Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,NVDA,TSLA,V,WMT
2017-03-24,32.62454605102539,42.28049850463867,41.508060455322266,99.8143081665039,69.28152465820312,59.01979446411133,2.6503078937530518,17.54400062561035,84.26094818115234,20.134838104248047
2017-03-27,32.68022537231445,42.340999603271484,41.67555618286133,100.0688247680664,69.24182891845703,59.1287841796875,2.6695430278778076,18.014667510986328,84.0341796875,20.149301528930664
2017-03-28,33.35758972167969,42.79999923706055,41.78092956542969,99.95748138427734,70.32125091552734,59.30134201049805,2.655733108520508,18.496667861938477,84.19480895996094,20.3402042388916
2017-03-29,33.431819915771484,43.715999603271484,42.24017333984375,99.36884307861328,70.05934143066406,59.464847564697266,2.6471028327941895,18.492000579833984,84.25148010253906,20.46169090270996
2017-03-30,33.38774490356445,43.81700134277344,42.220787048339844,99.16202545166016,70.66255187988281,59.68281173706055,2.6979031562805176,18.527999877929688,84.09089660644531,20.70755958557129
2017-03-31,33.32511901855469,44.32699966430664,42.13728713989258,99.07451629638672,69.71805572509766,59.81906509399414,2.6863129138946533,18.553333282470703,83.9586181640625,20.849294662475586
2017-04-03,33.33438491821289,44.57550048828125,42.582122802734375,99.18585968017578,69.46406555175781,59.537498474121094,2.6727497577667236,19.90133285522461,84.42154693603516,20.776979446411133
2017-04-04,33.58259201049805,45.34149932861328,42.374366760253906,99.17792510986328,69.69558715820312,59.700992584228516,2.4853265285491943,20.246667861938477,83.87359619140625,20.829042434692383
2017-04-05,33.40863037109375,45.4640007019043,42.19245529174805,99.27335357666016,68.80152893066406,59.54659652709961,2.4668309688568115,19.666667938232422,84.10977172851562,20.724916458129883
2017-04-06,33.32511901855469,44.91400146484375,42.00309371948242,99.47223663330078,69.03302001953125,59.700992584228516,2.4848334789276123,19.913333892822266,84.16644287109375,20.66127586364746
2017-04-07,33.25087356567383,44.74399948120117,41.85398864746094,99.36884307861328,68.79354858398438,59.655574798583984,2.474229574203491,20.16933250427246,83.83583068847656,21.08648109436035
